record_t,weekday,wx,t,at,beaufort,wind_dir,rh,pop,ci
2017-08-24 18:00,四,多雲,32,37,2,西北風,80%,10%,悶熱
2017-08-24 21:00,四,多雲,31,36,<=1,偏南風,85%,10%,悶熱
2017-08-25 00:00,五,多雲,30,35,<=1,西北風,89%,20%,悶熱
2017-08-25 03:00,五,多雲,29,35,<=1,偏南風,92%,20%,悶熱
2017-08-25 06:00,五,晴天,28,33,<=1,偏東風,88%,20%,悶熱
2017-08-25 09:00,五,晴天,32,36,2,偏東風,68%,20%,悶熱
2017-08-25 12:00,五,午後短暫雷陣雨,35,42,2,偏東風,80%,30%,悶熱
2017-08-25 15:00,五,午後短暫雷陣雨,34,41,<=1,偏東風,80%,30%,悶熱
2017-08-25 18:00,五,晴天,32,37,<=1,偏南風,72%,10%,悶熱
2017-08-25 21:00,五,多雲,31,36,<=1,西南風,87%,10%,悶熱
2017-08-26 00:00,六,陰天,30,35,<=1,東南風,93%,10%,悶熱
2017-08-26 03:00,六,陰天,29,35,<=1,西北風,94%,10%,悶熱
2017-08-26 06:00,六,陰天,28,33,<=1,西南風,88%,0%,悶熱
2017-08-26 09:00,六,陰天,32,36,2,偏北風,67%,0%,悶熱
2017-08-26 12:00,六,午後短暫雷陣雨,35,42,2,西北風,80%,30%,易中暑
2017-08-26 15:00,六,午後短暫雷陣雨,34,40,2,西南風,80%,30%,易中暑
2017-08-26 18:00,六,多雲,32,37,<=1,東南風,73%,0%,悶熱
