sid,city,district
6300100,台北市,松山區
6300200,台北市,信義區
6300300,台北市,大安區
6300400,台北市,中山區
6300500,台北市,中正區
6300600,台北市,大同區
6300700,台北市,萬華區
6300800,台北市,文山區
6300900,台北市,南港區
6301000,台北市,內湖區
6301100,台北市,士林區
6301200,台北市,北投區
6400100,高雄市,鹽埕區
6400200,高雄市,鼓山區
6400300,高雄市,左營區
6400400,高雄市,楠梓區
6400500,高雄市,三民區
6400600,高雄市,新興區
6400700,高雄市,前金區
6400800,高雄市,苓雅區
6400900,高雄市,前鎮區
6401000,高雄市,旗津區
6401100,高雄市,小港區
6401200,高雄市,鳳山區
6401300,高雄市,林園區
6401400,高雄市,大寮區
6401500,高雄市,大樹區
6401600,高雄市,大社區
6401700,高雄市,仁武區
6401800,高雄市,鳥松區
6401900,高雄市,岡山區
6402000,高雄市,橋頭區
6402100,高雄市,燕巢區
6402200,高雄市,田寮區
6402300,高雄市,阿蓮區
6402400,高雄市,路竹區
6402500,高雄市,湖內區
6402600,高雄市,茄萣區
6402700,高雄市,永安區
6402800,高雄市,彌陀區
6402900,高雄市,梓官區
6403000,高雄市,旗山區
6403100,高雄市,美濃區
6403200,高雄市,六龜區
6403300,高雄市,甲仙區
6403400,高雄市,杉林區
6403500,高雄市,內門區
6403600,高雄市,茂林區
6403700,高雄市,桃源區
6403800,高雄市,那瑪夏區
6500100,新北市,板橋區
6500200,新北市,三重區
6500300,新北市,中和區
6500400,新北市,永和區
6500500,新北市,新莊區
6500600,新北市,新店區
6500700,新北市,樹林區
6500800,新北市,鶯歌區
6500900,新北市,三峽區
6501000,新北市,淡水區
6501100,新北市,汐止區
6501200,新北市,瑞芳區
6501300,新北市,土城區
6501400,新北市,蘆洲區
6501500,新北市,五股區
6501600,新北市,泰山區
6501700,新北市,林口區
6501800,新北市,深坑區
6501900,新北市,石碇區
6502000,新北市,坪林區
6502100,新北市,三芝區
6502200,新北市,石門區
6502300,新北市,八里區
6502400,新北市,平溪區
6502500,新北市,雙溪區
6502600,新北市,貢寮區
6502700,新北市,金山區
6502800,新北市,萬里區
6502900,新北市,烏來區
6600100,台中市,中區
6600200,台中市,東區
6600300,台中市,南區
6600400,台中市,西區
6600500,台中市,北區
6600600,台中市,西屯區
6600700,台中市,南屯區
6600800,台中市,北屯區
6600900,台中市,豐原區
6601000,台中市,東勢區
6601100,台中市,大甲區
6601200,台中市,清水區
6601300,台中市,沙鹿區
6601400,台中市,梧棲區
6601500,台中市,后里區
6601600,台中市,神岡區
6601700,台中市,潭子區
6601800,台中市,大雅區
6601900,台中市,新社區
6602000,台中市,石岡區
6602100,台中市,外埔區
6602200,台中市,大安區
6602300,台中市,烏日區
6602400,台中市,大肚區
6602500,台中市,龍井區
6602600,台中市,霧峰區
6602700,台中市,太平區
6602800,台中市,大里區
6602900,台中市,和平區
6700100,台南市,新營區
6700200,台南市,鹽水區
6700300,台南市,白河區
6700400,台南市,柳營區
6700500,台南市,後壁區
6700600,台南市,東山區
6700700,台南市,麻豆區
6700800,台南市,下營區
6700900,台南市,六甲區
6701000,台南市,官田區
6701100,台南市,大內區
6701200,台南市,佳里區
6701300,台南市,學甲區
6701400,台南市,西港區
6701500,台南市,七股區
6701600,台南市,將軍區
6701700,台南市,北門區
6701800,台南市,新化區
6701900,台南市,善化區
6702000,台南市,新市區
6702100,台南市,安定區
6702200,台南市,山上區
6702300,台南市,玉井區
6702400,台南市,楠西區
6702500,台南市,南化區
6702600,台南市,左鎮區
6702700,台南市,仁德區
6702800,台南市,歸仁區
6702900,台南市,關廟區
6703000,台南市,龍崎區
6703100,台南市,永康區
6703200,台南市,東區
6703300,台南市,南區
6703400,台南市,北區
6703500,台南市,安南區
6703600,台南市,安平區
6703700,台南市,中西區
6800100,桃園市,桃園區
6800200,桃園市,中壢區
6800300,桃園市,大溪區
6800400,桃園市,楊梅區
6800500,桃園市,蘆竹區
6800600,桃園市,大園區
6800700,桃園市,龜山區
6800800,桃園市,八德區
6800900,桃園市,龍潭區
6801000,桃園市,平鎮區
6801100,桃園市,新屋區
6801200,桃園市,觀音區
6801300,桃園市,復興區
1000201,宜蘭縣,宜蘭市
1000202,宜蘭縣,羅東鎮
1000203,宜蘭縣,蘇澳鎮
1000204,宜蘭縣,頭城鎮
1000205,宜蘭縣,礁溪鄉
1000206,宜蘭縣,壯圍鄉
1000207,宜蘭縣,員山鄉
1000208,宜蘭縣,冬山鄉
1000209,宜蘭縣,五結鄉
1000210,宜蘭縣,三星鄉
1000211,宜蘭縣,大同鄉
1000212,宜蘭縣,南澳鄉
1000401,新竹縣,竹北市
1000402,新竹縣,竹東鎮
1000403,新竹縣,新埔鎮
1000404,新竹縣,關西鎮
1000405,新竹縣,湖口鄉
1000406,新竹縣,新豐鄉
1000407,新竹縣,芎林鄉
1000408,新竹縣,橫山鄉
1000409,新竹縣,北埔鄉
1000410,新竹縣,寶山鄉
1000411,新竹縣,峨眉鄉
1000412,新竹縣,尖石鄉
1000413,新竹縣,五峰鄉
1000501,苗栗縣,苗栗市
1000502,苗栗縣,苑裡鎮
1000503,苗栗縣,通霄鎮
1000504,苗栗縣,竹南鎮
1000505,苗栗縣,頭份市
1000506,苗栗縣,後龍鎮
1000507,苗栗縣,卓蘭鎮
1000508,苗栗縣,大湖鄉
1000509,苗栗縣,公館鄉
1000510,苗栗縣,銅鑼鄉
1000511,苗栗縣,南庄鄉
1000512,苗栗縣,頭屋鄉
1000513,苗栗縣,三義鄉
1000514,苗栗縣,西湖鄉
1000515,苗栗縣,造橋鄉
1000516,苗栗縣,三灣鄉
1000517,苗栗縣,獅潭鄉
1000518,苗栗縣,泰安鄉
1000701,彰化縣,彰化市
1000702,彰化縣,鹿港鎮
1000703,彰化縣,和美鎮
1000704,彰化縣,線西鄉
1000705,彰化縣,伸港鄉
1000706,彰化縣,福興鄉
1000707,彰化縣,秀水鄉
1000708,彰化縣,花壇鄉
1000709,彰化縣,芬園鄉
1000710,彰化縣,員林市
1000711,彰化縣,溪湖鎮
1000712,彰化縣,田中鎮
1000713,彰化縣,大村鄉
1000714,彰化縣,埔鹽鄉
1000715,彰化縣,埔心鄉
1000716,彰化縣,永靖鄉
1000717,彰化縣,社頭鄉
1000718,彰化縣,二水鄉
1000719,彰化縣,北斗鎮
1000720,彰化縣,二林鎮
1000721,彰化縣,田尾鄉
1000722,彰化縣,埤頭鄉
1000723,彰化縣,芳苑鄉
1000724,彰化縣,大城鄉
1000725,彰化縣,竹塘鄉
